name,description,media,attributes[Take Prompt],attributes[Scene Prompt],attributes[Image Prompt]
"[xx] is lowkey goated where [yy] is the vibe (#1/1)"," An image-based meme idea is to show a cartoon goat wearing stylish clothes and sunglasses. In the background, there are thunderclouds and lightning, symbolizing the feeling of the ""lowkey goated"" vibe. This idea plays off the juxtaposition of the laid-back, cool look of the goat contrasted with the wildness and energy of the thunderstorm.","1_0_img-C7hKIyFgIzf6nrBJDRIbpPie.png","[xx] is lowkey goated where [yy] is the vibe"," An image-based meme idea is to show a cartoon goat wearing stylish clothes and sunglasses. In the background, there are thunderclouds and lightning, symbolizing the feeling of the ""lowkey goated"" vibe. This idea plays off the juxtaposition of the laid-back, cool look of the goat contrasted with the wildness and energy of the thunderstorm.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Cartoon goat wearing stylish clothes and sunglasses, thunderclouds and lightning in background, suggesting lowkey-goated vibe, —v 3"
"[xx] is lowkey goated where [yy] is the vibe (#1/2)"," An image-based meme idea is to show a cartoon goat wearing stylish clothes and sunglasses. In the background, there are thunderclouds and lightning, symbolizing the feeling of the ""lowkey goated"" vibe. This idea plays off the juxtaposition of the laid-back, cool look of the goat contrasted with the wildness and energy of the thunderstorm.","1_1_img-4tryKtOp0t656vQQnu49ekpX.png","[xx] is lowkey goated where [yy] is the vibe"," An image-based meme idea is to show a cartoon goat wearing stylish clothes and sunglasses. In the background, there are thunderclouds and lightning, symbolizing the feeling of the ""lowkey goated"" vibe. This idea plays off the juxtaposition of the laid-back, cool look of the goat contrasted with the wildness and energy of the thunderstorm.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Cartoon goat wearing stylish clothes and sunglasses, thunderclouds and lightning in background, suggesting lowkey-goated vibe, —v 3"
"[xx] is lowkey goated where [yy] is the vibe (#1/3)"," An image-based meme idea is to show a cartoon goat wearing stylish clothes and sunglasses. In the background, there are thunderclouds and lightning, symbolizing the feeling of the ""lowkey goated"" vibe. This idea plays off the juxtaposition of the laid-back, cool look of the goat contrasted with the wildness and energy of the thunderstorm.","1_2_img-ZSY2RgTIvLAJN6FopzwwUtnJ.png","[xx] is lowkey goated where [yy] is the vibe"," An image-based meme idea is to show a cartoon goat wearing stylish clothes and sunglasses. In the background, there are thunderclouds and lightning, symbolizing the feeling of the ""lowkey goated"" vibe. This idea plays off the juxtaposition of the laid-back, cool look of the goat contrasted with the wildness and energy of the thunderstorm.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Cartoon goat wearing stylish clothes and sunglasses, thunderclouds and lightning in background, suggesting lowkey-goated vibe, —v 3"
"[xx] is lowkey goated where [yy] is the vibe (#1/4)"," An image-based meme idea is to show a cartoon goat wearing stylish clothes and sunglasses. In the background, there are thunderclouds and lightning, symbolizing the feeling of the ""lowkey goated"" vibe. This idea plays off the juxtaposition of the laid-back, cool look of the goat contrasted with the wildness and energy of the thunderstorm.","1_3_img-yD3KwTNL6vyK8okT9JSxO4i3.png","[xx] is lowkey goated where [yy] is the vibe"," An image-based meme idea is to show a cartoon goat wearing stylish clothes and sunglasses. In the background, there are thunderclouds and lightning, symbolizing the feeling of the ""lowkey goated"" vibe. This idea plays off the juxtaposition of the laid-back, cool look of the goat contrasted with the wildness and energy of the thunderstorm.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Cartoon goat wearing stylish clothes and sunglasses, thunderclouds and lightning in background, suggesting lowkey-goated vibe, —v 3"
"vaping is lowkey goated where nicotine is the vibe (#2/1)"," A low-fidelity meme featuring a cartoon sheep wearing a pair of sunglasses, blowing a thick cloud of vapor from an e-cigarette and with a caption bubble reading ""Vape Goated"".","2_0_img-DXTVcLAPF9bZoj183xK7g3bU.png","vaping is lowkey goated where nicotine is the vibe"," A low-fidelity meme featuring a cartoon sheep wearing a pair of sunglasses, blowing a thick cloud of vapor from an e-cigarette and with a caption bubble reading ""Vape Goated"".","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Cartoon sheep wearing sunglasses, blowing vapor from e-cigarette, caption bubble reading ""Vape Goated"", —v 3"
"vaping is lowkey goated where nicotine is the vibe (#2/2)"," A low-fidelity meme featuring a cartoon sheep wearing a pair of sunglasses, blowing a thick cloud of vapor from an e-cigarette and with a caption bubble reading ""Vape Goated"".","2_1_img-628rt3jlbI0RVWYVRcROQhlX.png","vaping is lowkey goated where nicotine is the vibe"," A low-fidelity meme featuring a cartoon sheep wearing a pair of sunglasses, blowing a thick cloud of vapor from an e-cigarette and with a caption bubble reading ""Vape Goated"".","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Cartoon sheep wearing sunglasses, blowing vapor from e-cigarette, caption bubble reading ""Vape Goated"", —v 3"
"vaping is lowkey goated where nicotine is the vibe (#2/3)"," A low-fidelity meme featuring a cartoon sheep wearing a pair of sunglasses, blowing a thick cloud of vapor from an e-cigarette and with a caption bubble reading ""Vape Goated"".","2_2_img-FgBKOGcSxVWXAki6YFxl1iik.png","vaping is lowkey goated where nicotine is the vibe"," A low-fidelity meme featuring a cartoon sheep wearing a pair of sunglasses, blowing a thick cloud of vapor from an e-cigarette and with a caption bubble reading ""Vape Goated"".","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Cartoon sheep wearing sunglasses, blowing vapor from e-cigarette, caption bubble reading ""Vape Goated"", —v 3"
"vaping is lowkey goated where nicotine is the vibe (#2/4)"," A low-fidelity meme featuring a cartoon sheep wearing a pair of sunglasses, blowing a thick cloud of vapor from an e-cigarette and with a caption bubble reading ""Vape Goated"".","2_3_img-zoKnJFb0qjOXtLxzNrXWALXQ.png","vaping is lowkey goated where nicotine is the vibe"," A low-fidelity meme featuring a cartoon sheep wearing a pair of sunglasses, blowing a thick cloud of vapor from an e-cigarette and with a caption bubble reading ""Vape Goated"".","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Cartoon sheep wearing sunglasses, blowing vapor from e-cigarette, caption bubble reading ""Vape Goated"", —v 3"
"test (#3/1)"," A picture of an old-fashioned school test paper with a smiley face in the corner, or a picture of a person with a look of disbelief, or a person holding their head in exasperation, with a handwritten ""Test"" written in the background.","3_0_img-6quNyMThuCjssbWSGLIw9CTY.png","test"," A picture of an old-fashioned school test paper with a smiley face in the corner, or a picture of a person with a look of disbelief, or a person holding their head in exasperation, with a handwritten ""Test"" written in the background.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Person holding head in exasperation, handwritten ""Test"" in background, old-fashioned school test paper with smiley face in corner, —v 3"
"test (#3/2)"," A picture of an old-fashioned school test paper with a smiley face in the corner, or a picture of a person with a look of disbelief, or a person holding their head in exasperation, with a handwritten ""Test"" written in the background.","3_1_img-4B8Ho6iwq9HxyGa8W8JjmkcA.png","test"," A picture of an old-fashioned school test paper with a smiley face in the corner, or a picture of a person with a look of disbelief, or a person holding their head in exasperation, with a handwritten ""Test"" written in the background.","Linotype, detailed, conceptually simple, wide angle, top-down isometric, mixed with the themes of dali and surrealism,  Person holding head in exasperation, handwritten ""Test"" in background, old-fashioned school test paper with smiley face in corner, —v 3"
